id,da_doc,loai_thong_bao,ngay_tao,noi_dung,role_nhan,tieu_de,url_detail,nguoi_nhan_id,created_at,nguoi_dung_id
1,0,MUON_TRA,"2026-05-06 22:56:45.985787","Giảng viên Nguyễn Văn An vừa gửi yêu cầu mượn thiết bị PC HP EliteDesk 800 G8",ADMIN,"Yêu cầu mượn thiết bị mới",/admin/muon-tra/5,NULL,NULL,NULL
2,0,MUON_TRA,"2026-05-06 23:00:39.008529","Yêu cầu mượn thiết bị PC HP EliteDesk 800 G8 của bạn đã được duyệt. Bạn có thể đến nhận thiết bị.",NULL,"Đơn mượn thiết bị đã được duyệt",/giaovien/muon-tra,2,NULL,NULL
3,0,MUON_TRA,"2026-05-06 23:04:52.106665","Giảng viên Nguyễn Văn An vừa gửi yêu cầu mượn thiết bị Máy chiếu BenQ MH535A",ADMIN,"Yêu cầu mượn thiết bị mới",/admin/muon-tra/6,NULL,NULL,NULL
4,1,MUON_TRA,"2026-05-06 23:05:10.241672","Yêu cầu mượn thiết bị Máy chiếu BenQ MH535A của bạn đã được duyệt. Bạn có thể đến nhận thiết bị.",NULL,"Đơn mượn thiết bị đã được duyệt",/giaovien/muon-tra,2,NULL,NULL
5,0,OVERDUE,NULL,"Chào Lê Văn Cường, thiết bị 'Laptop Dell Latitude 5420' bạn mượn vào ngày 2026-01-11 đã quá thời hạn trả dự kiến (2026-01-11). Vui lòng hoàn trả sớm nhất có thể. Cảm ơn!",NULL,"Thông báo: Thiết bị quá hạn trả",NULL,NULL,"2026-05-12 14:41:25.648060",4
6,1,MUON_TRA,NULL,"Thiết bị "Máy chiếu BenQ MH535A" sẽ hết hạn mượn vào ngày 16/05/2026 (còn 4 ngày). Vui lòng hoàn trả đúng hạn.",NULL,"⏰ Nhắc nhở: Sắp đến hạn trả thiết bị",/giao-vien/muon-tra,NULL,"2026-05-12 15:00:05.305271",2
7,0,HE_THONG,NULL,"Tổng thiết bị: 10 | Đang mượn: 1 | Quá hạn: 1 | Báo hỏng chờ xử lý: 0.",ADMIN,"📊 Báo cáo hệ thống sáng nay",/admin,NULL,"2026-05-12 15:00:05.347673",NULL
8,0,HE_THONG,NULL,"Thiết bị đang mượn: 1 | Quá hạn chưa trả: 1 | Đơn báo hỏng cần xử lý: 0.",NHAN_VIEN_CSVC,"📋 Tóm tắt công việc hôm nay",/nhanvien-csvc/bao-hong,NULL,"2026-05-12 15:00:05.355040",NULL
9,0,MUON_TRA,NULL,"Có 1 phiếu mượn thiết bị đã quá ngày trả dự kiến. Đề nghị liên hệ người mượn để thu hồi.",NHAN_VIEN_CSVC,"🚨 Cảnh báo: 1 thiết bị mượn quá hạn",/nhanvien-csvc/muon-tra,NULL,"2026-05-12 15:00:05.362027",NULL
10,0,BAO_TRI,NULL,"Tỉ lệ thiết bị bị báo hỏng đã vượt 10% (3/10). Đề xuất tổ chức đợt bảo trì tổng thể.",ADMIN,"⚠️ AI Cảnh báo: Tần suất hỏng hóc cao",/admin/bao-tri,NULL,"2026-05-12 15:00:05.367535",NULL
